timestamp,event_type,description,group
2025-12-31T20:42:00,config_change,mimalloc 3.0.1 enabled (original 60),mimalloc_original
2025-12-31T21:37:00,relay_add,+60 new relays (mimalloc 3.0.1),mimalloc_new
2025-12-31T22:10:00,relay_add,+20 new relays (mimalloc 3.0.1),mimalloc_new
2026-01-02T10:30:00,restart,full system restart,all
2026-01-02T21:45:00,experiment,mimalloc 2.0.9 group (20 relays),group_c
2026-01-02T21:45:00,experiment,mimalloc 2.1.7 group (20 relays),group_d
2026-01-02T21:58:00,config_activated,Group C/D mimalloc 2.x relays started,group_c_d
2026-01-04T22:00:00,experiment,5-way allocator test started (mimalloc 3.0.1/2.0.9/2.1.7 + jemalloc + glibc),all
2026-01-05T10:47:43-08:00,migration,60 relays from mimalloc 3.0.1 → 2.0.9,group_B
2026-01-05T10:47:43-08:00,migration,40 relays from mimalloc 3.0.1 → 2.1.7,group_C
2026-01-05T10:58:00,restart,100 relays migrated to mimalloc 2.0.9/2.1.7,all
