timestamp,server,type,fingerprint,nickname,rss_kb,vmsize_kb,hwm_kb,frag_ratio,count,total_kb,avg_kb,min_kb,max_kb
2025-11-02T14:00:00,go,aggregate,,,,,,,32,62023936,1937748,1857588,1996516
2025-11-03T14:00:00,go,aggregate,,,,,,,32,62187932,1943372,1863584,1996516
2025-11-04T14:00:00,go,aggregate,,,,,,,32,63681600,1990050,1937548,2071460
2025-11-05T14:00:00,go,aggregate,,,,,,,32,65314368,2041074,1987724,2099783
2025-11-07T14:00:00,go,aggregate,,,,,,,32,70393007,2199780,2085232,2450580
2025-11-09T14:00:00,go,aggregate,,,,,,,32,70648416,2207763,1895312,2539688
2025-11-11T14:00:00,go,aggregate,,,,,,,32,58389504,1824672,1653252,2001268
2025-11-14T14:00:00,go,aggregate,,,,,,,32,64986240,2030820,1772452,2235076
2025-11-16T13:24:10,go,aggregate,,,,,,,32,54218232,1694319,1350072,1901848
2025-11-16T13:26:35,go,aggregate,,,,,,,32,54210096,1694065,1350072,1901848
2025-11-16T14:00:00,go,aggregate,,,,,,,32,57611136,1800348,1601236,2034188
2025-11-17T02:00:01,go,aggregate,,,,,,,32,58122012,1816312,1646724,2003036
2025-11-18T02:00:01,go,aggregate,,,,,,,32,59577652,1861801,1584344,2006820
2025-11-19T02:00:01,go,aggregate,,,,,,,32,53905268,1684539,1373772,2060328
2025-11-20T02:00:01,go,aggregate,,,,,,,32,64065412,2002044,1804844,2204208
2025-11-21T02:00:01,go,aggregate,,,,,,,32,67022376,2094449,1990580,2226852
2025-11-22T02:00:01,go,aggregate,,,,,,,32,71610260,2237820,2132380,2307328
2025-11-23T02:00:01,go,aggregate,,,,,,,32,72840752,2276273,2180844,2319128
2025-11-24T02:00:01,go,aggregate,,,,,,,32,76350220,2385944,2299812,2532808
2025-11-25T02:00:01,go,aggregate,,,,,,,32,76900640,2403145,2290216,2715576
2025-11-26T02:00:01,go,aggregate,,,,,,,32,76766616,2398956,2296528,2714060
2025-11-27T02:00:01,go,aggregate,,,,,,,32,76893972,2402936,2325436,2711724
2025-11-28T02:00:01,go,aggregate,,,,,,,32,77727588,2428987,2327788,2709368
2025-11-29T02:00:01,go,aggregate,,,,,,,32,77776772,2430524,2317964,2717572
2025-11-30T02:00:01,go,aggregate,,,,,,,32,77809440,2431545,2312224,2717396
2025-12-01T02:00:01,go,aggregate,,,,,,,32,78157052,2442407,2331348,2719432
2025-12-02T02:00:01,go,aggregate,,,,,,,32,78490028,2452813,2348364,2715436
2025-12-03T02:00:01,go,aggregate,,,,,,,32,79377388,2480543,2320944,3113812
2025-12-04T02:00:01,go,aggregate,,,,,,,32,78856416,2464263,2334852,3107304
2025-12-05T02:00:01,go,aggregate,,,,,,,32,79275424,2477357,2323504,3085192
2025-12-06T02:00:01,go,aggregate,,,,,,,32,79134932,2472966,2321704,3101676
2025-12-07T02:00:01,go,aggregate,,,,,,,32,79137600,2473050,2349768,3105360
2025-12-08T02:00:01,go,aggregate,,,,,,,32,79080720,2471272,2323424,3106096
2025-12-09T02:00:01,go,aggregate,,,,,,,32,79215996,2475499,2351176,3108324
2025-12-10T02:00:01,go,aggregate,,,,,,,32,78894824,2465463,2297392,3104200
2025-12-11T02:00:01,go,aggregate,,,,,,,32,78947076,2467096,2331916,3072204
2025-12-12T02:00:01,go,aggregate,,,,,,,32,79187628,2474613,2341188,3100900
2025-12-13T02:00:01,go,aggregate,,,,,,,32,79019932,2469372,2343352,3101164
2025-12-14T02:00:01,go,aggregate,,,,,,,32,78859144,2464348,2321276,3068288
2025-12-15T02:00:01,go,aggregate,,,,,,,32,79117984,2472437,2328112,3068652
2025-12-16T02:00:01,go,aggregate,,,,,,,32,79184448,2474514,2327120,3101892
2025-12-17T02:00:01,go,aggregate,,,,,,,32,79133408,2472919,2295796,3099988
2025-12-18T02:00:01,go,aggregate,,,,,,,32,79214144,2475442,2312956,3101676
2025-12-19T02:00:01,go,aggregate,,,,,,,32,79429728,2482179,2317244,3101544
2025-12-20T02:00:01,go,aggregate,,,,,,,32,79224640,2475770,2336560,3064556
2025-12-21T02:00:01,go,aggregate,,,,,,,32,79436060,2482376,2330876,3068032
2025-12-22T02:00:01,go,aggregate,,,,,,,32,79587644,2487113,2351196,3101656
2025-12-23T02:00:01,go,aggregate,,,,,,,32,79506592,2484581,2353044,3101356
2025-12-24T02:00:01,go,aggregate,,,,,,,120,60864700,507205,266380,2213772
2025-12-25T02:00:01,go,aggregate,,,,,,,120,567211904,4726765,404392,5264624
2025-12-25T18:22:45,go,aggregate,,,,,,,120,331826904,2765224,1368980,4629344
2025-12-25T19:03:49,go,aggregate,,,,,,,120,364215864,3035132,1527100,4629708
2025-12-25T22:45:29,go,aggregate,,,,,,,120,579642892,4830357,3009112,5995492
2025-12-25T22:45:29,go,relay,12E3D3AE15C3A4F39191EC69FF9FFB28A130A32E,9thwonder,3472100,10176448,3725340,2.93,,,,,
2025-12-25T22:45:29,go,relay,F14F2336C7FBCF654B670F765865CC471BC25465,absoul,3678452,10181036,3686040,2.77,,,,,
2025-12-25T22:45:29,go,relay,A07E9CE1BDBEB961EDBB68877DD6DF5043170745,aesoprock,4699908,10140372,4739716,2.16,,,,,
2025-12-25T22:45:29,go,relay,3D58330052417673530A63739E9596ECC4B7793D,alchemist,3607160,10160976,3847064,2.82,,,,,
2025-12-25T22:45:29,go,relay,E4E956B350A1DDD188A965327822DB3C00C7CB9A,ant312,5583624,10137728,5610264,1.82,,,,,
2025-12-25T22:45:29,go,relay,28585B8A2570CE58E626907F1531D41291004438,araabmuzik,3804340,10181092,4000044,2.68,,,,,
2025-12-25T22:45:29,go,relay,2F506E337D75C2E879F8D7E5A2D043363D736180,asake,5666160,10145732,5761392,1.79,,,,,
2025-12-25T22:45:29,go,relay,6A39A3EF7075594C10D3009343B6693720090BC0,asapferg,3639596,10181960,3983180,2.80,,,,,
2025-12-25T22:45:29,go,relay,715620EF936D4CB4EB84BBD5D9CCEC7DDFEB4480,asapnast,3436548,10116300,3591636,2.94,,,,,
2025-12-25T22:45:29,go,relay,CE7B860158BC888E800B2C85F71059E03D69B2C8,asaptwenty12,3252696,10173580,3263988,3.13,,,,,
2025-12-25T22:45:29,go,relay,06AF6584EE7A3F5858A34B3693275B803F0CFBC3,atmosphere,5243760,10138836,5317756,1.93,,,,,
2025-12-25T22:45:29,go,relay,32D25F437EB58E246D30AABBEB5D74B5034CB875,ayrastarr,5683712,10140968,5683712,1.78,,,,,
2025-12-25T22:45:29,go,relay,7481799A8BB7F2C93C9A3B0FE79E064FF1A4189A,bigflo,5317108,10137428,5405864,1.91,,,,,
2025-12-25T22:45:29,go,relay,700EF8E7CFCE35931497228161A592830636CEC1,biggeazy,5466812,10141184,5501912,1.86,,,,,
2025-12-25T22:45:29,go,relay,BD74F6E0ABFC9C3379019268E41BBBF493367198,bigkrit,3362900,10180800,3529276,3.03,,,,,
2025-12-25T22:45:29,go,relay,0833FA63031FD1007AAF386576B6CA2452460C5B,bigl,5876356,10144084,5894136,1.73,,,,,
2025-12-25T22:45:29,go,relay,B14E7F3B73FEFC6178BBADE2D9E0448F71B519DB,bigpoppa,5720476,10149780,5720476,1.77,,,,,
2025-12-25T22:45:29,go,relay,CD334D07B344FBC57765DD4233589B77F844D87B,bigpun,5190740,10160136,5297972,1.96,,,,,
2025-12-25T22:45:29,go,relay,4C00F68D82B0B5461CC7B7D9EBD517CE25D496A6,blackmoon,4994188,10153504,5064192,2.03,,,,,
2025-12-25T22:45:29,go,relay,3AA910922EE4E3D03A84C4A1D0EB46B3B069AE6F,bluesfear,4750592,10142072,4930936,2.13,,,,,
2025-12-25T22:45:29,go,relay,A467604FC2E16F025011FF8C62224660DC256FA3,brentfaiyaz,5086760,10142596,5090836,1.99,,,,,
2025-12-25T22:45:29,go,relay,D099EE5472F5869C95171F959245BF4AEDCE1F72,brentwb,5708392,10135564,5731388,1.78,,,,,
2025-12-25T22:45:29,go,relay,EF0C0E004A84CD840BAB8919B9DBBF6F93AAC40A,buckshot,5428652,10140568,5492008,1.87,,,,,
2025-12-25T22:45:29,go,relay,67172961BCC34DE065225EBBDE9D3A72E40EA386,busta,5642664,10136664,5678436,1.80,,,,,
2025-12-25T22:45:29,go,relay,8A5B9A2D0B37BE2F8ECFB14396EB4D432131D907,bustarhymes,4564996,10136204,4564996,2.22,,,,,
