fingerprint,nickname,group,dircache,maxmem,notes
,22gz,A,0,2GB,DirCache 0 + MaxMem 2GB
,24kgoldn,A,0,2GB,DirCache 0 + MaxMem 2GB
,42dugg,A,0,2GB,DirCache 0 + MaxMem 2GB
,armanicaesar,B,default,default,Control relay
,arsonaldarebel,C,default,2GB,MaxMem 2GB only
,autumntwinuzis,C,default,2GB,MaxMem 2GB only
,ayeverb,C,default,2GB,MaxMem 2GB only
,babyfaceray,D,default,4GB,MaxMem 4GB only
,babysmoove,D,default,4GB,MaxMem 4GB only
,bbno,D,default,4GB,MaxMem 4GB only
,bfbdapackman,E,0,default,DirCache 0 only
,biggk,E,0,default,DirCache 0 only
,bigpokeyhouston,E,0,default,DirCache 0 only
